epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.021,0.79144,1.08099,0.90833,0.99825,0.98512,0.99478,0.79303,0.72833,0.55139,0.86949,0.000665565,0.000665565,0.000665565
2,286.524,0.76469,0.57007,0.91836,1,0.98895,0.99498,0.82354,0.70353,0.44366,0.89804,0.00130585,0.00130585,0.00130585
3,424.602,0.75326,0.48666,0.91447,0.989,0.98512,0.99441,0.83448,0.69252,0.39977,0.89635,0.00191974,0.00191974,0.00191974
4,565.703,0.74229,0.47365,0.91807,0.98868,0.99008,0.99471,0.83755,0.65602,0.40689,0.88223,0.0018812,0.0018812,0.0018812
5,707.209,0.70878,0.43101,0.90632,0.99659,0.99669,0.99495,0.85103,0.6352,0.35871,0.87514,0.0018416,0.0018416,0.0018416
6,847.713,0.68504,0.41354,0.89951,0.99588,0.99825,0.9949,0.85407,0.61564,0.34082,0.87289,0.001802,0.001802,0.001802
7,989.016,0.6782,0.39186,0.89722,0.99814,0.99917,0.995,0.8597,0.59718,0.32384,0.86135,0.0017624,0.0017624,0.0017624
8,1125.67,0.67004,0.38412,0.90018,0.9867,0.99587,0.99468,0.85131,0.59491,0.34422,0.85887,0.0017228,0.0017228,0.0017228
9,1266.08,0.64311,0.37797,0.89089,0.99387,0.99587,0.99459,0.85723,0.60658,0.32029,0.86444,0.0016832,0.0016832,0.0016832
10,1407.16,0.63859,0.36097,0.88665,0.99917,0.99894,0.995,0.87866,0.55657,0.29043,0.84939,0.0016436,0.0016436,0.0016436
11,1543.91,0.63739,0.35828,0.88867,0.99663,0.99669,0.99497,0.86784,0.56256,0.29657,0.85306,0.001604,0.001604,0.001604
12,1676.28,0.6346,0.35407,0.89076,0.99341,0.99711,0.99496,0.87872,0.55079,0.28827,0.85413,0.0015644,0.0015644,0.0015644
13,1815.21,0.62151,0.34307,0.88386,0.99752,0.99768,0.995,0.86584,0.56029,0.27157,0.85131,0.0015248,0.0015248,0.0015248
14,1962.19,0.61257,0.33737,0.88254,0.99987,0.99917,0.995,0.87916,0.54472,0.26828,0.84625,0.0014852,0.0014852,0.0014852
15,2104.71,0.6117,0.33631,0.88188,0.99721,0.99835,0.99498,0.87777,0.55266,0.29269,0.8496,0.0014456,0.0014456,0.0014456
16,2241.27,0.61293,0.33491,0.88145,0.99669,0.99565,0.99493,0.87678,0.56168,0.27651,0.85412,0.001406,0.001406,0.001406
17,2377.7,0.61104,0.32528,0.8828,0.99887,0.99752,0.99498,0.88041,0.54265,0.26321,0.845,0.0013664,0.0013664,0.0013664
18,2539.61,0.59811,0.32286,0.87973,0.99797,1,0.995,0.88449,0.53661,0.25404,0.84433,0.0013268,0.0013268,0.0013268
19,2688.27,0.5974,0.31745,0.8793,0.99944,0.99752,0.995,0.88324,0.53702,0.25292,0.84323,0.0012872,0.0012872,0.0012872
20,2844.86,0.59948,0.31686,0.87315,0.99747,1,0.99493,0.88567,0.53456,0.25173,0.83927,0.0012476,0.0012476,0.0012476
21,2996.07,0.58717,0.31004,0.87234,0.99983,0.99835,0.995,0.87646,0.55396,0.25025,0.84585,0.001208,0.001208,0.001208
22,3143.86,0.58541,0.30751,0.87242,1,0.99917,0.995,0.88311,0.5232,0.24928,0.84081,0.0011684,0.0011684,0.0011684
23,3287.61,0.58132,0.30435,0.87052,0.99917,0.9999,0.99498,0.88304,0.52985,0.24631,0.84131,0.0011288,0.0011288,0.0011288
24,3426.11,0.57882,0.30109,0.87299,0.9997,0.99917,0.995,0.88821,0.52478,0.24242,0.84228,0.0010892,0.0010892,0.0010892
25,3563.31,0.58222,0.29922,0.87494,0.99909,1,0.995,0.8837,0.53384,0.23925,0.84167,0.0010496,0.0010496,0.0010496
26,3701.43,0.57246,0.29801,0.87344,0.99835,0.99817,0.995,0.88717,0.51983,0.24389,0.83873,0.00101,0.00101,0.00101
27,3854.06,0.56471,0.28963,0.86523,0.99839,0.99917,0.995,0.88557,0.53797,0.23677,0.84049,0.0009704,0.0009704,0.0009704
28,3996.18,0.56357,0.29029,0.86815,1,0.99816,0.995,0.89685,0.5151,0.2338,0.83701,0.0009308,0.0009308,0.0009308
29,4138,0.56184,0.28875,0.869,1,0.99988,0.995,0.89361,0.51467,0.23136,0.83431,0.0008912,0.0008912,0.0008912
30,4277.36,0.56142,0.28287,0.8659,0.99933,0.99835,0.995,0.89759,0.51445,0.22912,0.83724,0.0008516,0.0008516,0.0008516
31,4420.65,0.5665,0.28395,0.86768,0.99917,0.99796,0.995,0.89264,0.51015,0.22722,0.83569,0.000812,0.000812,0.000812
32,4561.83,0.55127,0.27761,0.86693,0.99833,0.99917,0.995,0.89257,0.5091,0.22551,0.83495,0.0007724,0.0007724,0.0007724
33,4701.87,0.55081,0.27397,0.86294,0.99902,0.99917,0.995,0.89788,0.51432,0.22139,0.83706,0.0007328,0.0007328,0.0007328
34,4843.51,0.54105,0.26855,0.85769,0.99889,0.99917,0.99499,0.88104,0.51184,0.22099,0.83417,0.0006932,0.0006932,0.0006932
35,4980.46,0.54804,0.2739,0.86295,0.99891,0.99917,0.995,0.89279,0.50387,0.22044,0.83418,0.0006536,0.0006536,0.0006536
36,5118.92,0.54908,0.26677,0.86051,0.99984,0.99835,0.995,0.89787,0.50123,0.21872,0.83138,0.000614,0.000614,0.000614
37,5255.17,0.53954,0.26346,0.86105,0.99753,0.9995,0.99491,0.89604,0.50206,0.21244,0.83129,0.0005744,0.0005744,0.0005744
38,5392.98,0.54107,0.26353,0.86011,0.99905,0.99917,0.99495,0.89869,0.50515,0.21517,0.8315,0.0005348,0.0005348,0.0005348
39,5530.53,0.53859,0.26146,0.86129,0.9975,0.99917,0.995,0.89223,0.50786,0.21086,0.83313,0.0004952,0.0004952,0.0004952
40,5670.74,0.53573,0.25784,0.86027,0.99917,0.99993,0.9948,0.90141,0.50103,0.20705,0.83185,0.0004556,0.0004556,0.0004556
41,5797.57,0.50351,0.23106,0.83871,0.99742,1,0.995,0.89195,0.50888,0.21826,0.83417,0.000416,0.000416,0.000416
42,5927.84,0.49716,0.2282,0.83521,1,0.99915,0.995,0.9002,0.50452,0.21299,0.83222,0.0003764,0.0003764,0.0003764
43,6055.27,0.49881,0.22518,0.8387,0.99994,1,0.995,0.89729,0.50282,0.21011,0.83174,0.0003368,0.0003368,0.0003368
44,6180.46,0.49374,0.22074,0.83653,1,1,0.995,0.89693,0.49974,0.20643,0.8331,0.0002972,0.0002972,0.0002972
